name,slug,product_code,brand_slug,category_slug,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,motor-hacmi,yakit-turu
Mondial Fuzion-125,mondial-fuzion-125,MND-FUZION125,mondial,naked,38200,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Mondial Fuzion-125, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
Mondial Mona-Comfort,mondial-mona-comfort,MND-MONACOMFORT,mondial,scooter,41000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Mona-Comfort, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Mondial Lungo-125,mondial-lungo-125,MND-LUNGO125,mondial,scooter,38200,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Lungo-125, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,125,Benzin
Mondial Lavinia-Pro,mondial-lavinia-pro,MND-LAVINIAPRO,mondial,scooter,41000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Lavinia-Pro, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Mondial Fury-110i,mondial-fury-110i,MND-FURY110I,mondial,naked,36600,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Mondial Fury-110i, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,110,Benzin
Mondial Exon-125,mondial-exon-125,MND-EXON125,mondial,naked,38200,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Mondial Exon-125, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
Mondial Capri-Comfort,mondial-capri-comfort,MND-CAPRICOMFORT,mondial,scooter,41000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Capri-Comfort, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Mondial Rio-50,mondial-rio-50,MND-RIO50,mondial,scooter,30100,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Rio-50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Mondial Znu-50-I,mondial-znu-50-i,MND-ZNU50I,mondial,scooter,30100,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Znu-50-I, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Mondial Wing-50i,mondial-wing-50i,MND-WING50I,mondial,scooter,30100,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Wing-50i, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Mondial Turismo-50i,mondial-turismo-50i,MND-TURISMO50I,mondial,touring,30100,,TRY,in_stock,"Konforlu, uzun mesafe sürüşlerine uygun touring model.","Mondial Turismo-50i, konforlu, uzun mesafe sürüşlerine uygun touring model.",false,true,50,Benzin
Mondial Exon-50,mondial-exon-50,MND-EXON50,mondial,scooter,30100,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Exon-50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Mondial Ecco-Small,mondial-ecco-small,MND-ECCOSMALL,mondial,scooter,41000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Ecco-Small, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Mondial 50-Uag,mondial-50-uag,MND-50UAG,mondial,sport,30100,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"Mondial 50-Uag, sportif duruş ve performans odaklı bir model.",false,true,50,Benzin
Mondial Ardour,mondial-ardour,MND-ARDOUR,mondial,chopper,73500,,TRY,in_stock,Rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.,"Mondial Ardour, rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.",false,true,,Benzin
Mondial Sfc-Mini-50ec,mondial-sfc-mini-50ec,MND-SFCMINI50EC,mondial,e-bisiklet,30100,,TRY,in_stock,"Elektrikli, çevre dostu şehir içi ulaşım aracı.","Mondial Sfc-Mini-50ec, elektrikli, çevre dostu şehir içi ulaşım aracı.",false,true,50,Elektrik
Mondial Moneta,mondial-moneta,MND-MONETA,mondial,scooter,41000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Moneta, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Mondial Pista,mondial-pista,MND-PISTA,mondial,sport,73500,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"Mondial Pista, sportif duruş ve performans odaklı bir model.",false,true,,Benzin
Mondial Lontana,mondial-lontana,MND-LONTANA,mondial,touring,73500,,TRY,in_stock,"Konforlu, uzun mesafe sürüşlerine uygun touring model.","Mondial Lontana, konforlu, uzun mesafe sürüşlerine uygun touring model.",false,true,,Benzin
Mondial Bella,mondial-bella,MND-BELLA,mondial,scooter,41000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Mondial Bella, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Mondial Bomber,mondial-bomber,MND-BOMBER,mondial,chopper,73500,,TRY,in_stock,Rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.,"Mondial Bomber, rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.",false,true,,Benzin
Mondial Strada-125,mondial-strada-125,MND-STRADA125,mondial,naked,38200,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Mondial Strada-125, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,125,Benzin
Kuba Altera-400,kuba-altera-400,KBA-ALTERA400,kuba,adventure,153400,,TRY,in_stock,Uzun yol ve arazi kullanımına uygun adventure model.,"Kuba Altera-400, uzun yol ve arazi kullanımına uygun adventure model.",false,true,400,Benzin
Kuba K250,kuba-k250,KBA-K250,kuba,naked,115100,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Kuba K250, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,250,Benzin
Kuba Pikap-200-Max,kuba-pikap-200-max,KBA-PIKAP200MAX,kuba,scooter,102300,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Pikap-200-Max, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,200,Benzin
Kuba Kargo-180,kuba-kargo-180,KBA-KARGO180,kuba,scooter,97200,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Kargo-180, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,180,Benzin
Kuba Hussar-220-Pro,kuba-hussar-220-pro,KBA-HUSSAR220PRO,kuba,chopper,107400,,TRY,in_stock,Rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.,"Kuba Hussar-220-Pro, rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.",false,true,220,Benzin
Kuba Superlight-125,kuba-superlight-125,KBA-SUPERLIGHT125,kuba,sport,83100,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"Kuba Superlight-125, sportif duruş ve performans odaklı bir model.",false,true,125,Benzin
Kuba Novax200,kuba-novax200,KBA-NOVAX200,kuba,naked,102300,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Kuba Novax200, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,200,Benzin
Kuba Terra125,kuba-terra125,KBA-TERRA125,kuba,adventure,83100,,TRY,in_stock,Uzun yol ve arazi kullanımına uygun adventure model.,"Kuba Terra125, uzun yol ve arazi kullanımına uygun adventure model.",false,true,125,Benzin
Kuba Newcity-50,kuba-newcity-50,KBA-NEWCITY50,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Newcity-50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Arome-125-Pro,kuba-arome-125-pro,KBA-AROME125PRO,kuba,scooter,83100,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Arome-125-Pro, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,125,Benzin
Kuba Brilliant-26e,kuba-brilliant-26e,KBA-BRILLIANT26E,kuba,e-bisiklet,64000,,TRY,in_stock,"Elektrikli, çevre dostu şehir içi ulaşım aracı.","Kuba Brilliant-26e, elektrikli, çevre dostu şehir içi ulaşım aracı.",false,true,26,Elektrik
Kuba Race125,kuba-race125,KBA-RACE125,kuba,sport,83100,,TRY,in_stock,Sportif duruş ve performans odaklı bir model.,"Kuba Race125, sportif duruş ve performans odaklı bir model.",false,true,125,Benzin
Kuba Hussar-135,kuba-hussar-135,KBA-HUSSAR135,kuba,chopper,85700,,TRY,in_stock,Rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.,"Kuba Hussar-135, rahat sürüş pozisyonu sunan cruiser/chopper tarzı model.",false,true,135,Benzin
Kuba Borelli-50,kuba-borelli-50,KBA-BORELLI50,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Borelli-50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Newlight125-Pro,kuba-newlight125-pro,KBA-NEWLIGHT125PRO,kuba,scooter,83100,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Newlight125-Pro, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,125,Benzin
Kuba Bayberry-50,kuba-bayberry-50,KBA-BAYBERRY50,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Bayberry-50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Newlight50,kuba-newlight50,KBA-NEWLIGHT50,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Newlight50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Tk03,kuba-tk03,KBA-TK03,kuba,atv,89500,,TRY,in_stock,Arazi kullanımına uygun dört tekerlekli bir model.,"Kuba Tk03, arazi kullanımına uygun dört tekerlekli bir model.",false,true,,Benzin
Kuba Kb50-9,kuba-kb50-9,KBA-KB509,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Kb50-9, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Cita-50rx-Gold,kuba-cita-50rx-gold,KBA-CITA50RXGOLD,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Cita-50rx-Gold, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Braves-110,kuba-braves-110,KBA-BRAVES110,kuba,naked,79300,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Kuba Braves-110, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,110,Benzin
Kuba Cita-50rx,kuba-cita-50rx,KBA-CITA50RX,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Cita-50rx, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Cristal-50,kuba-cristal-50,KBA-CRISTAL50,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Cristal-50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Cg50-Rx-Pro,kuba-cg50-rx-pro,KBA-CG50RXPRO,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Cg50-Rx-Pro, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Sniper-50-Pro-X,kuba-sniper-50-pro-x,KBA-SNIPER50PROX,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Sniper-50-Pro-X, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Mt3-Prox,kuba-mt3-prox,KBA-MT3PROX,kuba,atv,89500,,TRY,in_stock,Arazi kullanımına uygun dört tekerlekli bir model.,"Kuba Mt3-Prox, arazi kullanımına uygun dört tekerlekli bir model.",false,true,,Benzin
Kuba Ege-50,kuba-ege-50,KBA-EGE50,kuba,scooter,64000,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Ege-50, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,50,Benzin
Kuba Optimus-Max,kuba-optimus-max,KBA-OPTIMUSMAX,kuba,scooter,89500,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Optimus-Max, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Kuba M5,kuba-m5,KBA-M5,kuba,e-bisiklet,89500,,TRY,in_stock,"Elektrikli, çevre dostu şehir içi ulaşım aracı.","Kuba M5, elektrikli, çevre dostu şehir içi ulaşım aracı.",false,true,,Elektrik
Kuba City,kuba-city,KBA-CITY,kuba,scooter,89500,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba City, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Kuba Blues,kuba-blues,KBA-BLUES,kuba,scooter,89500,,TRY,in_stock,"Şehir içi ulaşım için pratik, ekonomik bir scooter modeli.","Kuba Blues, şehir içi ulaşım için pratik, ekonomik bir scooter modeli.",false,true,,Benzin
Kuba Gree-08,kuba-gree-08,KBA-GREE08,kuba,e-bisiklet,89500,,TRY,in_stock,"Elektrikli, çevre dostu şehir içi ulaşım aracı.","Kuba Gree-08, elektrikli, çevre dostu şehir içi ulaşım aracı.",false,true,,Elektrik
Kuba Ree1500,kuba-ree1500,KBA-REE1500,kuba,e-bisiklet,306600,,TRY,in_stock,"Elektrikli, çevre dostu şehir içi ulaşım aracı.","Kuba Ree1500, elektrikli, çevre dostu şehir içi ulaşım aracı.",false,true,1500,Elektrik
Kuba Neron-X,kuba-neron-x,KBA-NERONX,kuba,naked,166100,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Kuba Neron-X, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,,Benzin
Kuba Mx220,kuba-mx220,KBA-MX220,kuba,naked,107400,,TRY,in_stock,Günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.,"Kuba Mx220, günlük kullanım ve şehir içi sürüş için tasarlanmış naked gövdeli bir model.",false,true,220,Benzin
